file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724408.fastq.gz	FASTQ	DNA	1808772	3444973566	63	1904.6	140761	521	950	2063	0	3672	20362	81	64	16.06	44.64	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724399.fastq.gz	FASTQ	DNA	695010	1656903941	65	2384.0	235683	402	852	2180	0	6733	19820	71	47	14.30	45.25	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724405.fastq.gz	FASTQ	DNA	468728	1006961700	67	2148.3	189787	368	725	1729	0	6758	16204	70	46	14.12	44.71	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724402.fastq.gz	FASTQ	DNA	595581	956551796	73	1606.1	165651	370	688	1445	0	3607	15487	70	46	13.82	44.54	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724407.fastq.gz	FASTQ	DNA	558175	1584014704	72	2837.8	222151	456	984	2687	0	8044	19276	71	47	14.49	45.29	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724411.fastq.gz	FASTQ	DNA	1497079	2654790797	59	1773.3	140398	524	941	1966	0	3177	17761	81	64	16.04	44.41	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724409.fastq.gz	FASTQ	DNA	1779240	3108501292	79	1747.1	133378	498	879	1818	0	3291	20301	82	64	16.02	44.66	0
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335745_2.fastq.gz	FASTQ	DNA	1506958	262660855	35	174.3	251	106	184	250	0	250	2	85	80	22.14	41.43	213920
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830498_1.fastq.gz	FASTQ	DNA	37043	6806530	35	183.7	251	119	205	251	0	250	2	79	72	21.08	40.15	2734
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830498_2.fastq.gz	FASTQ	DNA	37043	6958721	35	187.9	251	127	213	251	0	250	2	76	70	20.52	40.94	2153
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830499_1.fastq.gz	FASTQ	DNA	85455	18492151	35	216.4	251	191	250	251	0	251	1	77	70	20.79	40.36	3010
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830499_2.fastq.gz	FASTQ	DNA	85455	18565367	35	217.3	251	191	250	251	0	251	1	78	72	20.84	41.01	2005
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830500_1.fastq.gz	FASTQ	DNA	207641	28730091	35	138.4	251	81	120	192	0	171	81	84	79	22.14	40.50	14813
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830500_2.fastq.gz	FASTQ	DNA	207641	28987549	35	139.6	251	82	122	195	0	173	79	83	79	21.81	41.05	14426
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335764.fastq.gz	FASTQ	DNA	241650	1037819415	198	4294.7	25663	1911	3391	6449	0	6419	6677	18	0	10.02	40.51	0
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830501_1.fastq.gz	FASTQ	DNA	293959	56576835	35	192.5	251	132	237	251	0	250	2	81	74	21.49	40.31	5585
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830501_2.fastq.gz	FASTQ	DNA	293959	56317514	35	191.6	251	132	225	251	0	250	2	82	76	21.56	40.78	6131
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163235_2.fastq.gz	FASTQ	DNA	28314195	4247129250	150	150.0	150	150	150	150	0	150	1	95	89	23.82	43.14	93357
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335753.fastq.gz	FASTQ	DNA	250391	2232691891	12	8916.8	116739	2780	5900	12388	0	15105	20011	53	24	11.28	37.20	0
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830502_1.fastq.gz	FASTQ	DNA	970819	168606987	35	173.7	251	110	176	250	0	248	4	90	86	23.78	44.05	57617
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830502_2.fastq.gz	FASTQ	DNA	970819	174391158	35	179.6	251	114	191	251	0	250	2	76	69	20.25	44.85	63257
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830504_1.fastq.gz	FASTQ	DNA	857780	141151084	35	164.6	251	99	160	250	0	229	23	90	87	23.83	43.77	73273
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830504_2.fastq.gz	FASTQ	DNA	857780	148296353	35	172.9	251	103	177	251	0	250	2	73	66	19.80	44.67	74557
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830503_1.fastq.gz	FASTQ	DNA	2006406	314682653	35	156.8	251	87	150	249	0	224	28	95	93	25.30	43.72	589309
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830503_2.fastq.gz	FASTQ	DNA	2006406	314796258	35	156.9	251	87	150	250	0	224	28	91	88	23.47	43.77	586262
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830506_1.fastq.gz	FASTQ	DNA	1377010	198782307	35	144.4	251	83	130	212	0	186	66	90	86	23.36	42.41	221187
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830506_2.fastq.gz	FASTQ	DNA	1377010	210048109	35	152.5	251	86	138	250	0	219	33	75	69	20.00	43.33	215868
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830507_1.fastq.gz	FASTQ	DNA	1091890	143711435	35	131.6	251	73	116	184	0	168	84	94	92	24.26	43.62	345067
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830507_2.fastq.gz	FASTQ	DNA	1091890	144069399	35	131.9	251	73	116	185	0	169	83	91	89	23.35	43.73	344575
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830505_1.fastq.gz	FASTQ	DNA	1474492	240662102	35	163.2	251	95	158	250	0	242	10	88	84	22.82	43.90	219870
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830505_2.fastq.gz	FASTQ	DNA	1474492	250373174	35	169.8	251	98	172	251	0	250	2	73	66	19.67	44.84	217707
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830508_1.fastq.gz	FASTQ	DNA	656794	104176543	35	158.6	251	89	154	250	0	224	28	94	92	25.31	42.43	130935
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830508_2.fastq.gz	FASTQ	DNA	656794	104217638	35	158.7	251	89	153	250	0	225	27	91	88	23.69	42.52	130620
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326000_1.fastq.gz	FASTQ	DNA	337345	84673595	251	251.0	251	251	251	251	0	251	1	87	84	23.07	38.61	163
/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326000_2.fastq.gz	FASTQ	DNA	337345	84673595	251	251.0	251	251	251	251	0	251	1	76	70	20.41	40.48	1176
