task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
322	b2/97a8f8	54864	SAMBLASTER_FIXED (ecc-dt4-L1)	COMPLETED	0	2026-09-19 23:39:58.458	27m 26s	27m 21s	185.7%	700.6 MB	757.8 MB	161.4 GB	161.4 GB
337	ea/eb6076	107603	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-R2)	COMPLETED	0	2026-09-19 23:49:04.923	21m 52s	21m 48s	164.9%	4.7 MB	18.2 MB	40.3 GB	18.6 GB
338	33/d3c4e1	62822	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-L1)	COMPLETED	0	2026-09-20 00:07:24.350	20m 18s	20m 16s	171.2%	4.7 MB	18.2 MB	33.6 GB	20.6 GB
336	15/e22775	75884	SAMBLASTER_FIXED (ecc-dt4-L1)	COMPLETED	0	2026-09-20 00:10:57.123	30m 42s	30m 38s	162.5%	639.4 MB	694.6 MB	161.5 GB	161.5 GB
317	d9/0758b4	21118	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-R1)	COMPLETED	0	2026-09-20 00:27:42.562	19m 46s	19m 40s	141.8%	4.7 MB	18.2 MB	33.4 GB	17.3 GB
340	57/28cf79	98118	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-L2)	COMPLETED	0	2026-09-20 00:47:28.560	23m 10s	22m 59s	162.4%	4.7 MB	18.2 MB	33.9 GB	20.1 GB
319	4a/e2583f	68373	SAMBLASTER_FIXED (ecc-ct-R2)	COMPLETED	0	2026-09-20 00:41:38.840	47m 7s	46m 58s	129.2%	697.3 MB	759 MB	215.5 GB	215.5 GB
318	26/c97060	10740	SAMBLASTER_FIXED (ecc-ct-R1)	COMPLETED	0	2026-09-20 01:10:38.743	41m 6s	40m 47s	114.8%	740.5 MB	813.1 MB	169 GB	169 GB
339	32/9b0fc4	43462	SAMBLASTER_FIXED (ecc-dt4-L2)	COMPLETED	0	2026-09-20 01:28:45.916	45m 59s	45m 16s	102.8%	820.2 MB	962.5 MB	162.8 GB	162.8 GB
296	79/c34d0e	103788	SAMBLASTER_FIXED (ERR1830504)	COMPLETED	0	2026-09-20 02:14:45.233	7m 32s	5m 21s	13.0%	23.3 MB	39.8 MB	1.9 GB	1.9 GB
343	11/d025ec	118869	SAMBLASTER_FIXED (ecc-dt4-R2)	FAILED	1	2026-09-20 02:22:19.091	24m 42s	24m 42s	-	-	-	-	-
320	6f/acd0d6	-	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-R2)	FAILED	-	-	-	-	-	-	-	-	-
347	0f/317817	-	SAMBLASTER_FIXED (CRR1082978)	FAILED	-	-	-	-	-	-	-	-	-
352	c0/b0e103	-	SAMBLASTER_FIXED (CRR1082980)	FAILED	-	-	-	-	-	-	-	-	-
358	d5/5b3c43	-	BEDTOOLS_SPLITBAM2BED_FIXED (ERR6326000)	FAILED	-	-	-	-	-	-	-	-	-
357	2e/a93c32	-	BEDTOOLS_SPLITBAM2BED_FIXED (ERR1830501)	FAILED	-	-	-	-	-	-	-	-	-
435	39/a81ee3	-	CIRCLEFINDER (ERR1830500)	FAILED	-	-	-	-	-	-	-	-	-
321	87/5690b8	75144	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-L1)	COMPLETED	0	2026-09-20 01:51:44.930	1h 9m 57s	1h 9m 45s	63.9%	4.7 MB	18.2 MB	33.8 GB	18 GB
344	5d/3b55ae	29749	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-R2)	COMPLETED	0	2026-09-20 03:01:41.503	22m 11s	22m 2s	159.7%	4.7 MB	18.2 MB	45.3 GB	21.6 GB
295	f6/fc000a	54144	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830504)	COMPLETED	0	2026-09-20 03:23:52.119	17.6s	11s	182.6%	4.6 MB	18.2 MB	366.2 MB	163.5 MB
348	f7/bed432	55402	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR1082978)	COMPLETED	0	2026-09-20 03:24:09.785	16m 30s	16m 25s	172.8%	4.7 MB	18.2 MB	26.9 GB	22.4 GB
353	a1/5d5dda	77615	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR924678)	COMPLETED	0	2026-09-20 03:40:40.029	13m 9s	13m 2s	133.6%	4.7 MB	18.2 MB	12.6 GB	4 GB
355	c2/fbd7eb	105370	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR924679)	COMPLETED	0	2026-09-20 03:53:49.536	18m 2s	17m 58s	138.1%	4.7 MB	18.2 MB	16.7 GB	7.9 GB
341	41/33724d	25356	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-R1)	COMPLETED	0	2026-09-20 04:11:51.316	14m 39s	14m 34s	159.3%	4.7 MB	18.2 MB	24.5 GB	9.5 GB
332	33/bc2a91	65073	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-ct-L2)	COMPLETED	0	2026-09-20 04:26:30.195	14m 56s	14m 52s	170.1%	4.7 MB	18.2 MB	29.9 GB	15.6 GB
325	36/da12df	104101	BEDTOOLS_SORTEDBAM2BED_FIXED (ecc-dt4-R1)	COMPLETED	0	2026-09-20 04:41:26.079	12m 19s	12m 8s	166.7%	4.7 MB	18.2 MB	24.8 GB	9.2 GB
349	32/0bd523	9634	BEDTOOLS_SORTEDBAM2BED_FIXED (CRR1082979)	COMPLETED	0	2026-09-20 04:53:45.318	19m 31s	19m 20s	178.3%	4.7 MB	18.2 MB	32.8 GB	29.2 GB
